Date,iShares Physical Gold ETC
2016-06,675.284707614832
2016-07,685.3635022988802
2016-08,667.3882358618602
2016-09,672.2850870273048
2016-10,659.2079720692259
2016-11,628.2945672512367
2016-12,623.5746576687666
2017-01,639.3829926953707
2017-02,671.715284696029
2017-03,660.0024901275261
2017-04,656.6677068542405
2017-05,639.4077650512845
2017-06,616.7130150254869
2017-07,612.2725502796612
2017-08,628.2746423954779
2017-09,615.4420171538507
2017-10,617.9276022365332
2017-11,611.6283294816143
2017-12,611.881647794917
2018-01,611.052961713072
2018-02,610.5104967851674
2018-03,607.8673758838364
2018-04,614.9615198219866
2018-05,631.0434676291501
2018-06,606.5293009993173
2018-07,588.188302015972
2018-08,583.4089777183045
2018-09,579.673894959367
2018-10,606.628898776918
2018-11,605.6367423330131
2018-12,632.3588659662797
2019-01,650.624337785372
2019-02,652.5961399363124
2019-03,651.0677381973476
2019-04,645.3572600438073
2019-05,655.8412028837737
2019-06,698.8155107065911
2019-07,722.4450309290277
2019-08,781.4281725542706
2019-09,769.5203139693066
2019-10,764.0892893691379
2019-11,749.8434954728405
2019-12,764.4562492813402
2020-01,808.1486344812569
2020-02,826.7165746424622
2020-03,827.7072247576664
2020-04,882.2738472843781
2020-05,874.6670570162476
2020-06,889.510564593352
2020-07,934.1458396156997
2020-08,923.2384221113581
2020-09,907.4985234700305
2020-10,905.6997509841817
2020-11,828.1715283786143
2020-12,867.3703171735776
2021-01,864.2208673184919
2021-02,809.0011105207738
2021-03,811.3394548392905
2021-04,822.9030140081409
2021-05,875.7362793270677
2021-06,834.2208417363362
